rank,tell,category,confidence,cite_share_sample_pct,regex_share_sample_pct,regex_share_fullcorpus_pct,vs_regex,what_to_do
1,Em dash overuse (—),format,high,7.1,6.0,4.5,agree,"Both passes' #1 and confirmed cited in 4-5 posts per audited chunk; reads as AI because the punctuation is 'too polished' for casual typing — use commas, periods, or parentheses, and don't just swap in colons (people now flag that too)."
2,"""It's not just X, it's Y"" / ""not X, but Y"" construction (merged with #20, #23 variants)",phrasing,high,2.8,0.8,1.9,regex under-counts,True total is higher than 2.8% once the three split rows are merged; the antithesis cadence is THE 'AI accent' — just state the thing plainly instead of negating-then-asserting.
3,Uniform / robotic sentence rhythm,phrasing,medium,4,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Cited via 'specific rhythm'/'syntactic mad-lib' complaints but partly padded by generic 'sounds robotic' laments; vary sentence length and let some sentences run long or stop short.
4,"Positivity / sycophancy (gushing, 'great question!', yes-man)",phrasing,high,2.5,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Likely UNDER-ranked — Auditor 2 found it rivals em dash for citation density; drop the flattery and reflexive agreement, disagree or stay neutral when warranted."
5,Perfectly-structured / formulaic essay shape,format,high,2.5,0.5,0.5,regex under-counts,"Under-counted per Auditors 2 and 4 ('formulaic to the bone', 'exact same rigid three-paragraph formula'); break the intro-body-body-body-conclusion mold and let structure follow the idea."
6,Everything turned into bullet lists / listicles,format,high,1.7,1.7,1.8,agree,'5 ways to…' / '7 signs…' scaffolding screams AI; use prose paragraphs and reserve bullets for genuinely list-like content.
7,"""Dive in"" / ""deep dive""",phrasing,medium,2,2.3,1.6,agree,"Confirmed in cliche-avoidance quotes but some appearances are mocked AI output, not citations; cut the metaphor and just start the topic."
8,Rule of three / triads,format,high,1.2,0.5,0.3,regex under-counts,Likely under-ranked — named spontaneously across several chunks ('uses three-part structures constantly'); avoid reflexive three-part lists and parallel triplets.
9,"Empty summary / polished-but-hollow phrasing ('says nothing', word salad)",phrasing,high,0.7,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Under-counted per multiple auditors (folds in 'soulless', 'no opinion', 'word salad'); reads as AI because it's fluent but contentless — make a real claim and cut the restated-prompt filler."
10,"Bolded lead-in bullets (**Word:** ...) / title-case mini-headings (merged #24, #30)",format,medium,0.3,0.8,2.8,agree,"SOURCE 2 keyword pass puts this higher (2.8%, n=220); the **Bold:** then sentence pattern is a giveaway — write normal sentences without the boldface label."
11,"""As an AI language model"" / leftover assistant boilerplate (e.g. 'Want me to tweak the tone?')",artifact,high,1.2,0.3,0.2,regex under-counts,"The ultimate proof when present, but aging out as people stop pasting raw output; delete any meta-offer or disclaimer before publishing."
12,"Single-word diction memes: delve, unleash, tapestry, game-changer, comprehensive, elevate (cluster)",diction,medium,1.3,1.3,1.5,agree,"Inflated — all five auditors found near-zero genuine citations; counts come from listicle/prompt-list copying, but still real corpus-wide; swap for plain words you'd actually say."
13,Hallucinated / fabricated citations and references,artifact,high,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel tell surfaced by 4 auditors ('totally made up references'), no SOURCE 1 percentage; a content-level giveaway — verify every source, never invent author names or case law."
14,"""Honestly, ..."" / fake-relatability openers ('Look, I get it', 'Imagine this')",phrasing,medium,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel (no SOURCE 1 percentage), but a whole top-scoring post is devoted to 'Honestly' being 'zombified by AI' (3 auditors); cut the throat-clearing opener and start with the actual point."
15,"""Unlock the power/potential"" / ""unlock"" (merged #14, #19)",phrasing,medium,0.8,0.5,0.2,agree,Marketing-flavored and split across two rows; reads as hype — say what the thing actually does.
16,"Marketing / hype language ('revolutionary', 'transform your life', 'transformative')",phrasing,medium,0.3,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Repeatedly cited as a category broader than single words ('This revolutionary product will transform your life'); strip promotional adjectives and state plain facts.
17,Verbosity / repetition / restating the same point across sections,phrasing,medium,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel tell (no SOURCE 1 percentage) raised across 3 chunks ('repeated in 5 different sections', 5-page review of an 8-page article); cut length and say each thing once."
18,Forced / overly-smooth transitions,phrasing,medium,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Novel structural tell (no SOURCE 1 percentage; 'The transitions are forced'); the connective tissue is too even — let ideas jump and trim 'moreover/furthermore' scaffolding.
19,"No contractions / overly formal register (merged #17, #21)",phrasing,medium,0.7,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),True total higher once merged; stiff register reads as AI — use contractions and write the way you talk.
20,"Hedging / both-sides balance ('it depends', 'on one hand... on the other')",phrasing,low,0.3,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Cited as Claude 'hedges everything' giving a menu instead of committing; take a position rather than listing every option.
21,"""In today's fast-paced world"" / dated scene-setting opener",phrasing,low,0.7,0.2,0.4,regex under-counts,Iconic but low citation count; a hollow opener — delete it and start with something specific.
22,Emoji as bullets or section headers,format,low,0.8,0.0,0.0,REGEX UNDER-COUNTS (missed wording),Real but not cited as a tell in several chunks; decorative emoji-bullets look templated — use plain text headers.
23,Horizontal-rule dividers (---) between sections,format,low,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel (no SOURCE 1 percentage), from a single vivid quote ('another obvious AI writing marker'); the markdown line breaks read as generated — use paragraph breaks instead."
24,Deliberately-inserted fake typos to beat detectors,artifact,low,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel anti-detection artifact (no SOURCE 1 percentage; 'excyted', 'annownce'); ironically itself a tell — don't fake errors, just write naturally."
25,"""In conclusion"" / ""in summary"" closers",phrasing,low,0.2,0.2,1.0,agree,"SOURCE 2 keyword pass puts it higher (~1.0%); the signposted wrap-up is formulaic — end on a real last point, not a recap."
